trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",25,0,-93.04553771642418,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.8999999999999999}",30,0,-138.68800990271302,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.8499999999999999}",20,0,-74.74320567167894,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.7999999999999998}",25,7,-102.57796376048296,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.6, 'e': 0.7499999999999998}",20,5,-3.6157134335717496,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.6999999999999997}",20,0,-218.05597341184045,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 5}",0
7,False,"{'a': 0.6, 'e': 0.6499999999999997}",20,6,20.745499865690746,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.6, 'e': 0.5999999999999996}",25,0,-106.93074313620129,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.5499999999999996}",25,0,-72.17115094913945,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.4999999999999996}",20,0,-2.0906056515336084,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.4499999999999996}",30,0,-47.38830215428023,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.39999999999999963}",20,8,-47.59722680094141,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.6, 'e': 0.34999999999999964}",20,0,-25.868787039448357,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.29999999999999966}",20,0,10.216974186613028,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.24999999999999967}",20,0,2.400001833452766,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.19999999999999968}",20,0,15.30949621899518,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.1499999999999997}",20,0,-19.588033280096525,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.09999999999999969}",30,0,-2.959064915755233,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.6, 'e': 0.049999999999999684}",20,0,-27.99765343786337,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.6, 'e': -3.191891195797325e-16}",25,0,18.449915259877883,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': -0.05000000000000032}",25,0,-11.176735737273948,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': -0.10000000000000032}",20,0,-58.45549178066222,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': -0.15000000000000033}",20,0,23.74458429700917,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': -0.20000000000000034}",30,7,34.50789793875089,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': -0.25000000000000033}",25,0,41.005952310386576,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': -0.3000000000000003}",25,0,25.06699721153584,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': -0.3500000000000003}",20,0,-18.703498212105696,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': -0.4000000000000003}",25,7,-12.278613904744162,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': -0.4500000000000003}",25,0,25.965193652680725,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': -0.5000000000000003}",25,0,-57.56521018187519,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
