trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.598, 'e': 0.9753099120283326}",35,0,-244.76054964606638,"{0: 18, 1: 6, 2: 7, 3: 0, 4: 4}",0
2,False,"{'a': 0.596, 'e': 0.951229424500714}",20,0,-110.10784371722858,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.594, 'e': 0.9277434863285529}",25,0,-103.3690103243685,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.592, 'e': 0.9048374180359595}",20,0,-102.13347882495208,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.59, 'e': 0.8824969025845955}",30,0,-103.98890981321571,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.588, 'e': 0.8607079764250578}",20,0,-141.72007565141308,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.586, 'e': 0.8394570207692074}",20,0,-115.3887916959616,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.584, 'e': 0.8187307530779818}",20,0,-2.886697040327556,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.582, 'e': 0.7985162187593771}",30,0,-172.334934835913,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
10,False,"{'a': 0.58, 'e': 0.7788007830714049}",20,0,-119.57895736717556,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.578, 'e': 0.7595721232249685}",20,0,-70.49753490690007,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.576, 'e': 0.7408182206817179}",20,0,-20.217562566834335,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.574, 'e': 0.7225273536420722}",20,11,-81.28053305513333,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
14,False,"{'a': 0.572, 'e': 0.7046880897187134}",20,16,8.548043030632089,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.57, 'e': 0.6872892787909722}",25,1,-98.5678222471961,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 1}",1
16,False,"{'a': 0.568, 'e': 0.6703200460356393}",35,0,-86.39373169466636,"{0: 23, 1: 6, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.566, 'e': 0.6537697851298473}",25,0,-76.27170644602387,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.564, 'e': 0.6376281516217733}",20,0,-52.06074066326356,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5619999999999999, 'e': 0.6218850564650201}",20,4,-38.787187884620145,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5599999999999999, 'e': 0.6065306597126334}",20,0,-26.918166113404265,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5579999999999999, 'e': 0.5915553643668151}",25,0,-182.92359293808087,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
22,False,"{'a': 0.5559999999999999, 'e': 0.5769498103804866}",30,0,-89.66692830669032,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.5539999999999999, 'e': 0.5627048688069557}",20,16,4.216731262964453,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5519999999999999, 'e': 0.5488116360940264}",20,0,-1.8036618997962544,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.5499999999999999, 'e': 0.5352614285189903}",25,12,-35.13842982608508,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.5479999999999999, 'e': 0.522045776761016}",25,0,-30.73240989535567,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5459999999999999, 'e': 0.5091564206075492}",25,11,-54.481971067215916,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.5439999999999999, 'e': 0.4965853037914095}",30,0,-8.331168621338186,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5419999999999999, 'e': 0.48432456895536247}",30,6,-1.172426391741986,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.5399999999999999, 'e': 0.47236655274101474}",25,14,8.912491631613207,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5379999999999999, 'e': 0.4607037809989658}",30,0,0.3617632134694899,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.5359999999999999, 'e': 0.44932896411722156}",25,2,-11.802798536195697,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 0}",1
33,False,"{'a': 0.5339999999999999, 'e': 0.43823499246494924}",30,0,-71.01137195595875,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.5319999999999999, 'e': 0.42741493194872665}",20,0,-42.743634647687365,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.5299999999999999, 'e': 0.41686201967850844}",20,6,-68.42697420330258,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
36,False,"{'a': 0.5279999999999999, 'e': 0.4065696597405991}",25,0,-61.28291348727491,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
