trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-662.5172913982241,"{0: 70, 1: 13, 2: 25, 3: 2, 4: 10}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-568.5426646907218,"{0: 71, 1: 16, 2: 21, 3: 5, 4: 7}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,2,-40.433546363348796,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-581.1390325701693,"{0: 70, 1: 11, 2: 30, 3: 2, 4: 7}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,4,-17.176948233584465,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,-60,-445.88198085385267,"{0: 52, 1: 10, 2: 21, 3: 1, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-682.6435190107347,"{0: 70, 1: 21, 2: 20, 3: 4, 4: 10}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-647.2259672722031,"{0: 66, 1: 16, 2: 28, 3: 1, 4: 9}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,15,-93.76270631249281,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-649.6476097725761,"{0: 69, 1: 18, 2: 28, 3: 1, 4: 9}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-19,-181.2213710844791,"{0: 24, 1: 3, 2: 16, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-42,-197.6855618632418,"{0: 44, 1: 3, 2: 18, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,-11,-183.82376489384282,"{0: 25, 1: 6, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,4,-123.99691633003061,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,-9,-134.68256791082476,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-17,-221.4956915821976,"{0: 26, 1: 4, 2: 8, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-92,-417.45369436266907,"{0: 78, 1: 7, 2: 25, 3: 2, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-672.1007414878646,"{0: 69, 1: 18, 2: 21, 3: 1, 4: 11}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-62,-454.6206670180275,"{0: 48, 1: 13, 2: 19, 3: 1, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-61,-288.6844471890344,"{0: 56, 1: 11, 2: 13, 3: 3, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-67,-302.2206415532917,"{0: 61, 1: 5, 2: 22, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-100,-526.0956533091406,"{0: 75, 1: 17, 2: 24, 3: 3, 4: 6}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-57,-570.0670635161972,"{0: 53, 1: 4, 2: 12, 3: 1, 4: 12}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,14,-20.930793360870204,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,-100,-508.5193656223886,"{0: 74, 1: 15, 2: 22, 3: 2, 4: 7}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,-48,-280.13167881345436,"{0: 49, 1: 13, 2: 10, 3: 3, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-5,-136.85044985799044,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-65,-408.1058301855153,"{0: 51, 1: 11, 2: 16, 3: 1, 4: 6}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-100,-701.9670489799342,"{0: 71, 1: 14, 2: 29, 3: 0, 4: 11}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-10,-101.04588637463937,"{0: 22, 1: 5, 2: 7, 3: 0, 4: 1}",0
